2024-03-25 21:22:23.009[1711376543009] | INFO  | restartedMain | c.b.connector.futures.BotAplication  - Starting BotAplication using Java 17.0.10 with PID 1545 (/Users/dong1108/code/binance-futures-connector-java-main/target/classes started by dong1108 in /Users/dong1108/code/binance-futures-connector-java-main)
2024-03-25 21:22:23.010[1711376543010] | INFO  | restartedMain | c.b.connector.futures.BotAplication  - No active profile set, falling back to 1 default profile: "default"
2024-03-25 21:22:23.037[1711376543037] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-25 21:22:23.037[1711376543037] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-25 21:22:23.469[1711376543469] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port 8080 (http)
2024-03-25 21:22:23.475[1711376543475] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-25 21:22:23.476[1711376543476] | INFO  | restartedMain | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2024-03-25 21:22:23.476[1711376543476] | INFO  | restartedMain | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-03-25 21:22:23.496[1711376543496] | INFO  | restartedMain | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2024-03-25 21:22:23.496[1711376543496] | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 459 ms
2024-03-25 21:22:23.677[1711376543677] | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer   - LiveReload server is running on port 35729
2024-03-25 21:22:23.686[1711376543686] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Starting ProtocolHandler ["http-nio-8080"]
2024-03-25 21:22:23.695[1711376543695] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat started on port 8080 (http) with context path ''
2024-03-25 21:22:23.705[1711376543705] | INFO  | restartedMain | c.b.connector.futures.BotAplication  - Started BotAplication in 0.857 seconds (process running for 1.569)
2024-03-25 21:22:25.011[1711376545011] | INFO  | scheduling-1 | c.b.c.futures.sheduled.SheduledTask  -  ****** Begin job ****** 
2024-03-25 21:22:42.870[1711376562870] | INFO  | scheduling-1 | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/userTrades?symbol=BTCUSDT&limit=1&timestamp=1711376562758&signature=aecac41ffe4fb2e890388a6d291f1477e10718a107cd94d0652aaaf56d314169
2024-03-25 21:24:41.953[1711376681953] | INFO  | scheduling-1 | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/openOrders?symbol=BTCUSDT&limit=1&timestamp=1711376681945&signature=a3be72c32af829f9f15b2d73256cbc3d8b254c9eb83c33a52103be4d65e92dbb
2024-03-25 21:34:30.271[1711377270271] | INFO  | File Watcher | o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-03-25 21:35:00.282[1711377300282] | INFO  | Thread-7   | o.s.c.s.DefaultLifecycleProcessor    - Failed to shut down 1 bean with phase value 2147483647 within timeout of 30000ms: [taskScheduler]
2024-03-25 21:35:00.283[1711377300283] | INFO  | Thread-7   | o.a.coyote.http11.Http11NioProtocol  - Stopping ProtocolHandler ["http-nio-8080"]
2024-03-25 21:35:00.351[1711377300351] | INFO  | restartedMain | c.b.connector.futures.BotAplication  - Starting BotAplication using Java 17.0.10 with PID 1545 (/Users/dong1108/code/binance-futures-connector-java-main/target/classes started by dong1108 in /Users/dong1108/code/binance-futures-connector-java-main)
2024-03-25 21:35:00.351[1711377300351] | INFO  | restartedMain | c.b.connector.futures.BotAplication  - No active profile set, falling back to 1 default profile: "default"
2024-03-25 21:35:00.450[1711377300450] | INFO  | restartedMain | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port 8080 (http)
2024-03-25 21:35:00.451[1711377300451] | INFO  | restartedMain | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-25 21:35:00.451[1711377300451] | INFO  | restartedMain | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2024-03-25 21:35:00.451[1711377300451] | INFO  | restartedMain | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-03-25 21:35:00.455[1711377300455] | INFO  | restartedMain | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2024-03-25 21:35:00.455[1711377300455] | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 102 ms
